date,market_id,stall_id,scale_id,nominal_weight_g,reading_g,is_certified,last_cert_date,calibration_date,inspector_id
2026-01-01,1,1,1,1000,993.82,Y,2025-09-01,2026-03-10,2
2026-01-01,1,1,2,500,508.71,Y,2025-09-01,2026-03-10,2
2026-01-01,1,2,1,100,99.68,Y,2025-09-01,2026-03-10,2
2026-01-01,1,2,2,500,500.49,Y,2025-09-01,2026-03-10,2
2026-01-01,1,3,1,100,101.51,Y,2025-09-01,2026-03-10,2
2026-01-01,1,3,2,250,250.34,Y,2025-09-01,2026-03-10,2
2026-01-01,1,4,1,100,99.67,Y,2025-09-01,2026-03-10,2
2026-01-01,1,4,2,250,249.31,Y,2025-09-01,2026-03-10,2
2026-01-01,1,5,1,500,493.96,Y,2025-09-01,2026-03-10,2
2026-01-01,1,5,2,250,252.16,Y,2025-09-01,2026-03-10,2
2026-01-01,1,6,1,1000,992.54,Y,2025-09-01,2026-03-10,2
2026-01-01,1,6,2,500,500.36,Y,2025-09-01,2026-03-10,2
2026-01-01,1,7,1,100,101.58,Y,2025-09-01,2026-03-10,2
2026-01-01,1,7,2,100,101.32,Y,2025-09-01,2026-03-10,2
2026-01-01,1,8,1,1000,986.79,Y,2025-09-01,2026-03-10,2
2026-01-01,1,8,2,250,251.71,Y,2025-09-01,2026-03-10,2
2026-01-01,1,9,1,1000,996.84,Y,2025-09-01,2026-03-10,2
2026-01-01,1,9,2,250,249.12,Y,2025-09-01,2026-03-10,2
2026-01-01,1,10,1,1000,1007.68,Y,2025-09-01,2026-03-10,2
2026-01-01,1,10,2,250,246.42,Y,2025-09-01,2026-03-10,2
2026-01-01,1,11,1,500,506.69,Y,2025-09-01,2026-03-10,2
2026-01-01,1,11,2,250,245.34,Y,2025-09-01,2026-03-10,2
2026-01-01,1,12,1,500,509.78,Y,2025-09-01,2026-03-10,2
2026-01-01,1,12,2,100,99.19,Y,2025-09-01,2026-03-10,2
2026-01-01,1,13,1,500,505.79,Y,2025-09-01,2026-03-10,2
2026-01-01,1,13,2,500,491.47,Y,2025-09-01,2026-03-10,2
2026-01-01,1,14,1,500,508.17,Y,2025-09-01,2026-03-10,2
2026-01-01,1,14,2,1000,1016.13,Y,2025-09-01,2026-03-10,2
2026-01-01,1,15,1,250,246.3,Y,2025-09-01,2026-03-10,2
2026-01-01,1,15,2,250,245.84,Y,2025-09-01,2026-03-10,2
2026-01-01,1,16,1,500,494.23,Y,2025-09-01,2026-03-10,2
2026-01-01,1,16,2,500,495.98,Y,2025-09-01,2026-03-10,2
2026-01-01,1,17,1,1000,982.13,Y,2025-09-01,2026-03-10,2
2026-01-01,1,17,2,250,251.14,Y,2025-09-01,2026-03-10,2
2026-01-01,1,18,1,100,100.36,Y,2025-09-01,2026-03-10,2
2026-01-01,1,18,2,500,494.62,Y,2025-09-01,2026-03-10,2
2026-01-01,1,19,1,1000,996.56,Y,2025-09-01,2026-03-10,2
2026-01-01,1,19,2,250,249.93,Y,2025-09-01,2026-03-10,2
2026-01-01,1,20,1,100,98.2,Y,2025-09-01,2026-03-10,2
2026-01-01,1,20,2,250,245.45,Y,2025-09-01,2026-03-10,2
2026-01-01,1,21,1,250,250.15,Y,2025-09-01,2026-03-10,2
2026-01-01,1,21,2,100,98.12,Y,2025-09-01,2026-03-10,2
2026-01-01,1,22,1,1000,1016.14,Y,2025-09-01,2026-03-10,2
2026-01-01,1,22,2,100,99.79,Y,2025-09-01,2026-03-10,2
2026-01-01,1,23,1,1000,1012.3,Y,2025-09-01,2026-03-10,2
2026-01-01,1,23,2,100,100.15,Y,2025-09-01,2026-03-10,2
2026-01-01,1,24,1,250,254.28,Y,2025-09-01,2026-03-10,2
2026-01-01,1,24,2,100,100.28,Y,2025-09-01,2026-03-10,2
2026-01-01,1,25,1,100,100.9,Y,2025-09-01,2026-03-10,2
2026-01-01,1,25,2,1000,1007.61,Y,2025-09-01,2026-03-10,2
2026-01-01,1,26,1,1000,1010.04,Y,2025-09-01,2026-03-10,2
2026-01-01,1,26,2,500,505.26,Y,2025-09-01,2026-03-10,2
2026-01-01,1,27,1,100,101.58,Y,2025-09-01,2026-03-10,2
2026-01-01,1,27,2,500,507.63,Y,2025-09-01,2026-03-10,2
2026-01-01,1,28,1,100,100.65,Y,2025-09-01,2026-03-10,2
2026-01-01,1,28,2,250,245.74,Y,2025-09-01,2026-03-10,2
2026-01-01,1,29,1,100,101.8,Y,2025-09-01,2026-03-10,2
