date,market_id,commodity,avg_price_per_kg
2026-01-01,1,Tomatoes,81.49
2026-01-08,4,Chicken,180.76
2026-01-15,3,Pork,336.0
2026-01-22,4,Garlic,102.43
2026-01-29,1,Pork,321.63
2026-02-05,3,Ginger,100.15
2026-02-12,2,Eggplant,73.01
2026-02-19,4,Ginger,135.23
2026-02-26,3,Carrots,149.52
2026-03-05,5,Pork,334.84
2026-03-12,5,Cabbage,101.75
2026-03-19,5,Rice,58.1
2026-03-26,4,Carrots,119.1
2026-04-02,5,Cabbage,124.63
2026-04-09,3,Tomatoes,105.25
2026-04-16,4,Onions,102.66
2026-04-23,4,Onions,131.47
2026-04-30,3,Tomatoes,71.14
2026-05-07,2,Chicken,185.28
2026-05-14,3,Pork,300.8
2026-05-21,5,Tilapia,134.92
2026-05-28,4,Chicken,180.43
2026-06-04,1,Pork,367.88
2026-06-11,5,Tomatoes,74.59
2026-06-18,4,Pork,354.4
2026-06-25,2,Carrots,130.63
2026-07-02,3,Pork,370.87
2026-07-09,1,Eggplant,64.61
2026-07-16,5,Ginger,156.8
2026-07-23,5,Garlic,123.5
2026-07-30,3,Cabbage,124.2
2026-08-06,5,Tomatoes,88.53
2026-08-13,3,Carrots,99.89
2026-08-20,2,Garlic,166.2
2026-08-27,1,Rice,53.1
2026-09-03,3,Ginger,121.25
2026-09-10,3,Cabbage,130.52
2026-09-17,2,Ginger,101.91
2026-09-24,1,Beef,356.77
2026-10-01,2,Tilapia,145.13
2026-10-08,1,Onions,124.45
2026-10-15,3,Tomatoes,106.18
2026-10-22,2,Chicken,197.66
2026-10-29,2,Carrots,141.51
2026-11-05,2,Garlic,130.53
2026-11-12,5,Carrots,147.89
2026-11-19,3,Beef,428.03
2026-11-26,4,Rice,51.39
2026-12-03,1,Eggplant,70.38
2026-12-10,4,Chicken,201.57
2026-12-17,1,Eggplant,72.94
2026-12-24,3,Onions,134.78
2026-12-31,3,Pork,353.39
2027-01-07,1,Cabbage,121.56
2027-01-14,5,Beef,384.38
2027-01-21,3,Chicken,203.03
2027-01-28,1,Tilapia,136.76
2027-02-04,3,Onions,84.8
2027-02-11,5,Chicken,183.9
2027-02-18,2,Chicken,189.05
2027-02-25,4,Carrots,141.66
2027-03-04,1,Tomatoes,76.85
2027-03-11,3,Onions,88.77
2027-03-18,2,Onions,85.2
2027-03-25,5,Pork,326.07
2027-04-01,1,Onions,132.99
2027-04-08,2,Rice,51.14
2027-04-15,2,Tilapia,150.26
2027-04-22,2,Carrots,106.21
2027-04-29,3,Carrots,141.97
2027-05-06,5,Rice,59.61
2027-05-13,3,Carrots,135.36
2027-05-20,4,Tilapia,157.9
2027-05-27,5,Tomatoes,71.0
2027-06-03,3,Carrots,149.24
2027-06-10,1,Ginger,102.43
2027-06-17,3,Carrots,113.71
2027-06-24,4,Beef,409.85
2027-07-01,4,Chicken,186.02
2027-07-08,1,Cabbage,90.47
2027-07-15,1,Onions,90.41
2027-07-22,4,Eggplant,60.4
2027-07-29,4,Carrots,90.09
2027-08-05,1,Garlic,103.3
2027-08-12,1,Beef,392.56
2027-08-19,3,Carrots,147.86
2027-08-26,4,Rice,47.74
2027-09-02,2,Tilapia,149.8
2027-09-09,3,Ginger,120.38
2027-09-16,4,Carrots,129.07
2027-09-23,5,Eggplant,79.23
2027-09-30,4,Tomatoes,73.39
2027-10-07,4,Tilapia,150.01
2027-10-14,2,Eggplant,73.62
2027-10-21,5,Ginger,110.54
2027-10-28,3,Tomatoes,75.3
2027-11-04,4,Rice,55.88
2027-11-11,1,Beef,389.1
2027-11-18,1,Cabbage,103.2
2027-11-25,3,Ginger,144.08
