date,market_id,stall_id,commodity,paid_amount_php,label_weight_kg,actual_weight_kg
2025-12-29,4,43,Carrots,208.16,1.5,1.494
2026-01-10,5,40,Potatoes,58.64,0.5,0.497
2026-01-12,1,47,Pork,301.46,1.0,1.0
2026-01-22,2,37,Onions,162.26,2.0,1.986
2026-01-28,4,40,Bangus,108.05,0.5,0.5
2026-02-05,1,50,Chicken,97.81,0.5,0.5
2026-02-09,1,30,Onions,71.88,0.5,0.498
2026-02-18,2,42,Cabbage,129.17,1.0,0.996
2026-02-24,5,31,Pork,307.23,1.0,0.998
2026-03-05,5,39,Tilapia,268.66,2.0,1.994
2026-03-14,2,48,Tomatoes,91.71,1.5,1.501
2026-03-18,3,49,Garlic,272.0,2.0,1.991
2026-03-27,5,31,Potatoes,91.52,1.0,1.001
2026-04-03,3,32,Tomatoes,76.22,1.0,0.997
2026-04-10,5,42,Tilapia,180.15,1.5,1.497
2026-04-18,4,37,Potatoes,111.69,1.0,1.001
2026-04-23,5,32,Bangus,390.46,2.0,1.995
2026-05-01,3,40,Garlic,269.04,1.5,1.491
2026-05-06,5,30,Potatoes,55.89,0.5,0.498
2026-05-14,3,39,Chicken,97.25,0.5,0.5
2026-05-21,5,48,Tomatoes,56.2,0.5,0.498
2026-05-27,2,36,Bangus,189.1,1.0,0.993
2026-06-02,2,32,Garlic,319.02,2.0,1.995
2026-06-10,1,37,Bangus,307.88,1.5,1.489
2026-06-19,2,37,Cabbage,49.71,0.5,0.499
2026-06-25,2,46,Onions,197.2,1.5,1.503
2026-07-04,2,45,Tilapia,127.42,1.0,0.995
2026-07-06,2,35,Cabbage,131.9,1.5,1.503
2026-07-17,1,47,Onions,121.05,1.5,1.493
2026-07-23,5,40,Potatoes,162.98,1.5,1.491
2026-07-28,2,50,Beef,526.62,1.5,1.504
2026-08-05,1,46,Beef,869.7,2.0,1.999
2026-08-10,1,35,Potatoes,51.08,0.5,0.5
2026-08-21,4,43,Chicken,207.2,1.0,0.994
2026-08-28,3,47,Carrots,261.26,2.0,1.987
2026-09-02,2,48,Chicken,323.14,1.5,1.499
2026-09-11,1,31,Potatoes,97.68,1.0,0.996
2026-09-16,4,50,Cabbage,68.4,0.5,0.498
2026-09-22,2,40,Garlic,185.25,1.5,1.497
2026-09-28,2,30,Bangus,204.2,1.0,0.997
2026-10-07,4,37,Tomatoes,88.53,1.0,1.001
2026-10-17,5,30,Onions,137.31,1.5,1.497
2026-10-21,1,49,Potatoes,65.68,0.5,0.501
2026-10-27,2,47,Cabbage,224.76,2.0,2.001
2026-11-07,4,44,Tomatoes,121.88,1.5,1.494
2026-11-09,5,43,Tilapia,307.36,2.0,2.0
2026-11-17,3,50,Bangus,80.96,0.5,0.501
2026-11-23,5,50,Onions,169.48,2.0,2.001
2026-12-02,1,41,Bangus,197.69,1.0,0.995
2026-12-12,4,36,Pork,701.6,2.0,2.003
2026-12-15,2,43,Carrots,272.36,2.0,1.996
2026-12-22,3,45,Beef,197.07,0.5,0.5
2026-12-29,1,39,Potatoes,132.92,1.0,0.995
2027-01-08,5,32,Chicken,97.64,0.5,0.497
2027-01-13,2,37,Cabbage,206.83,1.5,1.503
2027-01-21,3,35,Tomatoes,106.82,1.0,1.0
2027-01-25,3,34,Cabbage,105.56,1.0,0.994
2027-02-04,2,35,Pork,655.38,2.0,1.994
2027-02-08,1,38,Tilapia,212.36,1.5,1.496
2027-02-17,2,43,Garlic,67.25,0.5,0.497
2027-02-24,4,47,Chicken,105.66,0.5,0.498
2027-03-01,5,47,Garlic,306.78,2.0,1.99
2027-03-12,4,45,Beef,628.89,1.5,1.502
2027-03-17,2,43,Onions,52.04,0.5,0.499
2027-03-22,4,38,Pork,173.03,0.5,0.499
2027-03-31,1,44,Chicken,196.76,1.0,0.996
2027-04-09,1,43,Carrots,141.18,1.5,1.498
2027-04-13,3,46,Beef,179.88,0.5,0.497
2027-04-24,3,40,Chicken,378.1,2.0,1.986
2027-04-29,2,43,Chicken,214.44,1.0,1.002
2027-05-03,4,33,Cabbage,48.42,0.5,0.498
2027-05-12,5,50,Potatoes,48.13,0.5,0.498
2027-05-18,3,32,Beef,714.86,2.0,1.991
2027-05-28,1,44,Beef,382.58,1.0,0.995
2027-05-31,1,44,Beef,425.7,1.0,1.001
2027-06-08,2,30,Tilapia,204.56,1.5,1.501
2027-06-19,2,41,Carrots,135.39,1.0,0.994
2027-06-22,4,33,Cabbage,96.21,1.0,1.002
2027-07-03,1,31,Cabbage,131.97,1.0,0.996
2027-07-10,1,32,Tilapia,158.96,1.0,0.998
2027-07-13,5,50,Cabbage,125.36,1.0,0.997
2027-07-21,3,49,Carrots,293.7,2.0,1.988
2027-07-30,5,46,Potatoes,148.74,1.5,1.502
2027-08-04,4,30,Cabbage,278.48,2.0,1.989
2027-08-12,4,48,Bangus,81.22,0.5,0.5
2027-08-20,1,40,Cabbage,51.86,0.5,0.501
2027-08-28,4,38,Pork,695.76,2.0,2.005
2027-09-01,5,43,Chicken,372.04,2.0,1.988
2027-09-06,4,33,Onions,46.1,0.5,0.499
2027-09-15,5,30,Beef,729.74,2.0,1.999
2027-09-23,5,38,Garlic,50.53,0.5,0.498
2027-09-30,5,50,Cabbage,40.04,0.5,0.5
2027-10-04,2,43,Tomatoes,31.24,0.5,0.5
2027-10-11,1,48,Pork,501.08,1.5,1.501
2027-10-23,5,45,Cabbage,206.79,1.5,1.501
2027-10-28,3,39,Tilapia,254.62,2.0,1.987
2027-11-06,1,30,Carrots,269.4,2.0,1.991
